gl,bf,proper,dist,absmag,x,y,z
,,Sol,0,4.85,0.000005,0,0
Gl 551,,Proxima Centauri,1.2959,15.447,-0.472264,-0.361451,-1.151219
Gl 559B,Alp2Cen,,1.3248,5.739,-0.495181,-0.413973,-1.156674
Gl 559A,Alp1Cen,Rigil Kentaurus,1.3248,4.379,-0.495203,-0.414084,-1.156625
Gl 699,,Barnard's Star,1.8238,13.235,-0.017373,-1.816613,0.149123
Gl 406,,,2.3906,16.557,-2.282811,0.649334,0.292057
Gl 411,,Lalande 21185,2.5469,10.46,-1.998,0.504305,1.495504
Gl 65A,,,2.6267,15.473,2.270499,1.04697,-0.809963
Gl 65B,,,2.6267,15.603,2.270631,1.047031,-0.81001
Gl 244A,9Alp CMa,Sirius,2.6371,1.454,-0.494323,2.476731,-0.758485
Gl 244B,,,2.6371,11.334,-0.494379,2.476814,-0.75847
Gl 729,,,2.9698,13.006,0.585883,-2.652454,-1.200123
Gl 905,,,3.1686,14.786,2.262649,-0.179022,2.205274
Gl 144,18Eps Eri,,3.2161,6.183,1.89897,2.541426,-0.528523
Gl 887,,Lacaille 9352,3.2759,9.773,2.581532,-0.621353,-1.918773
Gl 447,,,3.3553,13.491,-3.349892,0.179372,0.047111
Gl 866A,,,3.3979,15.004,3.069893,-1.139264,-0.895949
Gl 725B,,,3.4545,12.008,0.324167,-1.716358,2.980381
Gl 820A,61    Cyg,,3.4865,7.488,1.979356,-1.863636,2.181892
Gl 280B,,,3.4974,12.981,-1.462274,3.161021,0.31861
Gl 820B,61    Cyg,,3.498,8.331,1.986273,-1.869789,2.188742
Gl 280A,10Alp CMi,Procyon,3.5142,2.671,-1.469312,3.17617,0.320024
Gl 15B,,,3.568,13.298,2.557764,0.20548,2.479994
Gl 725A,,,3.5691,11.177,0.334856,-1.773105,3.079349
Gl 15A,,,3.5873,10.316,2.571275,0.20667,2.493057
Gl 845,Eps Ind,,3.6224,6.895,1.732589,-0.966715,-3.030307
GJ 1111,,,3.6258,17.013,-1.968452,2.569351,1.633464
Gl 71,52Tau Cet,,3.6502,5.678,3.154083,1.539508,-1.00226
Gl 54.1,,,3.6899,14.265,3.353772,1.097975,-1.078832
,,,3.6964,14.011,-0.482554,-1.64315,-3.275755
Gl 273,,Luyten's Star,3.8026,11.94,-1.409549,3.514856,0.346358
